
Timestamp,Username,Name,Followers,Following,Posts,Likes
2025-08-28T22:43:23.442907+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-28T23:51:31.917212+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-28T23:51:32.060665+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-29T00:42:24.563280+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T00:42:24.704589+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-29T01:46:55.457003+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T01:46:55.593040+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-29T02:43:57.995989+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T02:43:58.117736+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-29T03:44:22.028753+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T03:44:22.164809+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-29T04:44:14.349849+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T04:44:14.502792+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,475,4727,4357
2025-08-29T06:41:16.709386+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T06:41:16.852488+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
2025-08-29T08:29:36.751509+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T08:29:36.887952+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
2025-08-29T09:07:12.463813+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T09:07:12.604013+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
2025-08-29T09:48:54.536238+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T09:48:54.704236+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
2025-08-29T10:44:48.183467+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T10:44:48.339069+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
2025-08-29T11:52:53.332229+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T11:52:53.463522+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
2025-08-29T12:44:49.736758+05:30,Notmeyaar,.·͙☽,41,98,2984,2473
2025-08-29T12:44:49.887534+05:30,amayaxtweets,𝐴𝑚𝑎𝑦𝑎ˎˊ,572,474,4727,4357
